A,e,simulation
0.00037486483606,0.7075573064,0
7.4485564479e-05,0.6316131301,1
0.026285105208,0.9055933364,2
8.2795693265e-05,0.9712959088,3
0.00017504398629,0.97075793,4
0.022402122163,0.6862915419,5
2.2210503653e-05,0.8987692811,6
3.7223734604e-05,0.6704209301,7
0.00020057954312,0.7691396656,8
0.00013445448902,0.5646613173,9
1.9787534669e-05,0.9791360982,10
9.5190309697e-05,0.1027540523,11
3.9749645942e-05,0.9321171032,12
0.00037897836459,0.3141454102,13
4.341312611e-06,0.8355903343,14
0.00010495747533,0.6715545416,15
0.0016725520767,0.7462856331,16
0.037063302518,0.7689724687,17
1.4597039127e-05,0.9675721795,18
0.00051603105885,0.4418096696,19
1.6993520719e-05,0.749847768,20
1.201402676e-05,0.9524635457,21
3.8429969576e-05,0.651269268,22
0.00025729177046,0.8181993229,23
0.001323984365,0.4753460237,24
0.00070678996991,0.5982808341,25
0.00017625366244,0.8800874896,26
5.6404967296e-05,0.7217055975,27
0.00014321161116,0.1207476016,28
9.6984362965e-05,0.7476797596,29
0.00057409647838,0.8351604302,30
2.6460983602e-05,0.2920428475,31
0.00014605448673,0.7155406685,32
0.00010185944677,0.644349017,33
0.00013793885445,0.5544833241,34
0.00015648962945,0.6751180084,35
0.00020863088226,0.9296188814,36
0.0014283200709,0.9814624887,37
9.143291225e-05,0.9849302539,38
0.0047794575424,0.538146434,39
7.0999943057e-05,0.8195602847,40
5.2859161793e-05,0.8170955436,41
0.0001495960547,0.9502284395,42
0.00032849784922,0.6715974606,43
8.2388468105e-05,0.7494882361,44
0.0022084852901,0.4836045002,45
0.001546735563,0.845190293,46
0.0003916023978,0.5978763798,47
7.6117294294e-05,0.9082668012,48
0.00011235741869,0.85829613,49
0.0087367972216,0.6239808,50
0.00018228249909,0.8890858273,51
6.6208346852e-06,0.5117852397,52
3.3344217072e-05,0.2105457945,53
3.9900377865e-05,0.8786272368,54
0.0013141423569,0.874644058,55
0.00012209183344,0.7613864215,56
0.018338271074,0.5778324052,57
0.00061360555263,0.5130200393,58
0.00014813551315,0.7751133794,59
5.6823743528e-05,0.9318719071,60
0.0010849653405,0.8292508188,61
0.00016952029528,0.4512153342,62
2.6244143703e-05,0.8764515113,63
0.00049272750917,0.9127664583,64
6.9875895794e-05,0.3258363418,65
0.0016833774915,0.10311798,66
0.00045326787883,0.8609490083,67
0.00076684678382,0.8411432168,68
3.3865841321e-06,0.3927529467,69
0.0033633258305,0.9858179004,70
0.0072189474611,0.705049071,71
6.2527862303e-05,0.7773921415,72
9.4601406023e-06,0.723452489,73
1.0038894022e-05,0.5387648548,74
0.00085953830024,0.3791079671,75
7.6832032463e-05,0.6739194683,76
3.9668538052e-05,0.991157898,77
8.6265876609e-05,0.80408612,78
0.012768967594,0.7120101494,79
0.00031803833173,0.9417064465,80
0.00082491658992,0.5470029968,81
0.0008751248305,0.4318178972,82
0.0017100032097,0.6628627986,83
0.0017109164768,0.5313199014,84
2.5600952304e-05,0.8181420444,85
8.5506147447e-05,0.5830000407,86
2.2958761417e-05,0.339709418,87
2.9462098183e-05,0.6453110968,88
0.002043374477,0.4593927128,89
3.9050486345e-05,0.3421344476,90
0.00023649912067,0.8529140071,91
3.1535312623e-05,0.7672873456,92
0.00036225046778,0.9899139337,93
0.0026375523932,0.5032031864,94
4.2900330756e-05,0.3649539267,95
4.7864965256e-05,0.9881857795,96
0.00042405049036,0.9261386125,97
0.00042924782891,0.5057484055,98
0.00076372594383,0.8392637445,99
0.00015952069726,0.8995792626,100
3.7679846269e-06,0.7379221448,101
0.0005444544225,0.3661264541,102
0.00031048283126,0.9334485364,103
0.0014717476475,0.6762684625,104
2.4415895139e-05,0.7311722988,105
0.031783036785,0.6635659726,106
1.0894422213e-05,0.8994683661,107
0.00063493758432,0.7845546213,108
0.00012317781074,0.5449523835,109
2.0734804254e-05,0.9677618928,110
0.00080624474479,0.6868799271,111
0.00014921425335,0.9688749558,112
1.0837130249e-06,0.6155202485,113
1.136013857e-05,0.607477708,114
0.00037746460011,0.9850126672,115
0.01750145695,0.405046875,116
7.665839493e-06,0.8357102846,117
0.00011955700995,0.9617651152,118
0.004149777807,0.7916850301,119
0.00054638328047,0.9911454484,120
6.8316001534e-05,0.8026469062,121
7.0349218528e-06,0.2733606684,122
2.5722690691e-06,0.7021819937,123
2.1633719398e-05,0.9114586896,124
0.00012094675453,0.9425247731,125
2.5706316977e-06,0.6549200816,126
9.919748551e-05,0.5886431956,127
5.9794656013e-05,0.9603100676,128
3.0738554857e-05,0.8230963342,129
4.7820411367e-05,0.1160367298,130
2.7392676325e-05,0.83387846,131
0.002428724856,0.9210635799,132
0.004109092972,0.8333508173,133
0.01238258046,0.8623610175,134
0.00071725090256,0.5794289667,135
0.00073863174,0.5714478603,136
0.0042447360387,0.3055253259,137
0.0061015807535,0.2817109163,138
0.0073893724612,0.7049075139,139
0.0021840335337,0.8432433294,140
3.7420989215e-05,0.5269613667,141
4.9543099649e-06,0.4454356708,142
0.00090681267908,0.7843872473,143
5.8365090625e-05,0.9309152631,144
0.00033299119561,0.795152639,145
6.679025593e-05,0.7105275934,146
9.4928041408e-06,0.5785279137,147
0.0031786618791,0.8877691382,148
0.0004076058832,0.6795816514,149
8.8073191246e-06,0.4328507168,150
0.00075250605415,0.9974149357,151
0.00019764486578,0.4015526836,152
0.00050478435451,0.4269602957,153
0.017328958577,0.7328973695,154
0.00013633828322,0.7907418102,155
0.0001929394398,0.6943037599,156
3.9521734744e-05,0.9001642629,157
0.00033466372122,0.9061339541,158
0.00024900377715,0.9035198123,159
0.0001468296163,0.6689490415,160
2.1513675442e-05,0.5930605735,161
0.00036092476754,0.4863342577,162
4.9614294013e-05,0.579237425,163
0.00038373056634,0.3524811388,164
7.239225086e-05,0.6818040487,165
1.2540002441e-05,0.5838578341,166
0.00039270483234,0.7952775766,167
2.262869998e-05,0.6573710615,168
0.0049736227492,0.3850693001,169
