m,x,y,z,vx,vy,vz,Eb,simulation,event
39.68911095,1.925801822,0.3500024924,0.9683717647,1388.557614,3488.776785,508.1397118,261991889.67622566,0,flyby
26.45848703,1.925800693,0.3500026942,0.9683718166,-1365.137573,-5102.89664,-401.3112999,-59688716.5618067,0,flyby
5.531187041,-23.0307046,-4.185689135,-11.58078132,-3433.465959,-624.0115071,-1726.487191,-109618782.64997575,0,flyby
40.23107491,0.2432909,1.429614342,1.285392162,54.99438828,247.5699074,193.8161306,539180.5478926115,1,flyby
39.33446524,0.2409341198,1.430763354,1.285733568,17.14314017,180.2946085,191.4283392,-18512079.10623711,1,flyby
14.29095361,-1.348046444,-7.962606011,-7.157419548,-202.0018877,-1193.188081,-1072.508039,-19747809.773527414,1,flyby
57.03853597,-0.7002465342,-0.7633643376,-0.7393519354,-335.8145816,-121.9164092,-48.5759415,6578534.888456161,2,flyby
16.94886138,-0.7002667691,-0.7634311717,-0.7393611922,674.0885583,-86.86456195,-318.0339056,-6028070.302785849,2,flyby
11.28067556,4.592788901,5.006834299,4.849255881,685.1840134,746.9578273,723.4507474,-11270531.450516095,2,flyby
41.57918631,0.2251552405,-1.497599004,-2.413592551,599.1254984,179.5286914,339.8212223,50865612.870868444,3,flyby
11.68711232,0.225155145,-1.497596981,-2.41358982,-1978.531799,-1656.216805,-2848.842015,-84700236.08121744,3,flyby
24.22682866,-0.4950373545,3.29269395,5.306642133,-73.79535215,490.8498379,791.0753394,-5766058.476647885,3,flyby
25.09719789,-2.225953305,0.3573764676,-1.662151033,-341.9718802,184.7496422,-139.0957612,2053712.8600272008,4,flyby
22.77205585,-2.22614937,0.3573721029,-1.662200531,-321.9886164,-91.3976213,-368.5440256,-7178394.008809692,4,flyby
38.30060524,2.782180274,-0.4466573128,2.077436015,415.5255147,-66.7192223,310.267133,-6360050.482926459,4,flyby
36.47244364,0.145133016,-0.2303900901,-0.4008108747,-68.38638402,162.913489,-68.28236918,11707757.390405193,5,flyby
31.90493718,0.1450471744,-0.230392937,-0.4008111215,124.5488706,-259.8708264,-50.04423119,-3038919.046024412,5,flyby
5.270011005,-1.882553324,2.989284414,5.200445628,-280.7404679,445.7883188,775.5359354,-1927351.8884538244,5,flyby
45.26758795,-0.2668551605,-0.05415612564,0.4086202187,334.4702592,202.9105803,265.4124832,124663601.35843393,6,flyby
36.00082063,-0.2668665968,-0.054152883,0.4086215598,-510.3892481,-273.3689983,-196.1889293,-5701150.8740292005,6,flyby
3.737836657,5.802101034,1.177436526,-8.884273502,865.1447862,175.5656533,-1324.72896,-4852656.718644206,6,flyby
51.86403204,-2.915632121,-3.913745493,4.754642084,-354.8688911,666.5350736,1243.443852,-113891092.82485926,7,change23
26.60563388,7.68652377,10.31786279,-12.53473018,1162.332722,1560.23605,-1895.463823,-202776379.21550217,7,change23
18.27678245,-2.915633515,-3.913744582,4.754640636,-685.0039025,-4162.67282,-769.2817544,243848086.94549495,7,change23
30.11453133,0.538671372,-0.8425709401,2.032292203,115.7554454,-129.2168737,329.3981151,338755.1721639343,8,flyby
24.77073116,0.5370885775,-0.841688702,2.032868539,40.194144,-126.0888658,282.9254276,-6271775.739435681,8,flyby
28.49778509,-1.036077456,1.621981266,-3.914590799,-157.2599172,246.1461115,-594.0089558,-7819505.8681617575,8,flyby
34.23908255,1.199190225,1.737707983,0.5273043992,348.4158089,332.3135552,79.15587269,2184700.10079554,9,flyby
19.3149628,1.199146855,1.737876621,0.527307924,-121.0814448,130.4921031,78.02954939,-9161844.952953838,9,flyby
11.34727306,-5.659566808,-8.201490248,-2.488646535,-845.2034234,-1224.837129,-371.6630665,-17269930.421443976,9,flyby
45.12836962,-0.3025022506,-1.049576477,-0.3988366243,-161.5278897,-151.4556768,-614.0052722,33058881.16157032,10,flyby
30.95143121,-0.3025084595,-1.049573735,-0.3988100179,124.6781631,-163.7331115,749.1129091,-5064964.85583789,10,flyby
24.60123428,0.9355019708,3.245832447,1.23337663,139.4451467,483.8262083,183.8501333,-9001424.965534378,10,flyby
38.013228,-0.6260878294,-0.3694338066,0.09180444068,-105.8575766,-1.40241837,9.520949252,582131.8411180191,11,flyby
33.81169951,-0.627868834,-0.3697837017,0.09168831221,-81.12550133,-116.4103961,18.58532349,-8441271.039265154,11,flyby
3.770780669,11.94154094,7.040024137,-1.747627713,1794.583102,1057.962298,-262.6308648,-8246875.088686675,11,flyby
36.91944011,-0.5499934122,0.4047916385,0.2430720615,135.0150368,116.757378,36.1988963,3634831.3222112665,12,flyby
35.82402238,-0.5502051857,0.4049020283,0.2430533824,-305.9332155,2.420153813,36.39023335,-6949995.84362228,12,flyby
5.346603711,7.484379596,-5.508150887,-3.307002947,1117.546599,-822.4504574,-493.7877689,-4969996.552058688,12,flyby
26.50020983,1.012860149,0.6562764973,0.03825072104,275.4860453,252.7367638,47.69287592,2776719.7531742873,13,flyby
25.92936287,1.012688754,0.6562802426,0.03829510316,24.05681188,-60.26635801,-37.19423259,-8869712.537242439,13,flyby
4.270877251,-12.43289786,-8.056516592,-0.4698378439,-1855.407062,-1202.307794,-70.11404176,-12269654.614546433,13,flyby
37.87559068,-0.2636100083,0.779636462,0.6799396204,45.23730801,130.4360788,95.14306007,510972.0913021263,14,flyby
12.0847333,-0.2636637852,0.780052818,0.6799369947,-304.6838687,73.02705304,121.9685685,-8070336.3441772135,14,flyby
3.666748954,3.591926107,-10.62410388,-9.264329904,536.8880051,-1588.015995,-1384.757256,-9001131.150914472,14,flyby
114.9312011,0.05664734184,-0.09537064175,0.03542934691,-49.82491505,-37.23863012,1.117594525,1177524.2442218252,15,flyby
25.46508896,0.05672244017,-0.09657126507,0.03539134498,273.508359,86.03634228,25.33055213,-759934.3655945169,15,flyby
6.403118339,-1.242361706,2.095894149,-0.776681123,-193.417847,326.2406324,-120.7991487,-507988.70460653794,15,flyby
25.05056157,-1.297282785,2.712684425,1.013925889,-193.7988001,405.2325297,150.8975391,-98057.88795397522,16,ionization
19.29495354,-1.061988838,2.352134107,0.2111804614,-158.8923267,351.9440815,32.44020949,-8895400.628766928,16,ionization
19.97564935,2.652664084,-5.673837408,-1.475502978,396.5122084,-848.1349889,-220.5685709,-11432373.764696524,16,ionization
43.33865081,-1.803352204,-1.341844303,-1.473971284,-258.4634624,-116.9800486,-200.2346571,1285297.0165462717,17,flyby
