A,e,simulation
2.0033126615e-06,0.4422748913,0
0.00067158986312,0.6682181708,1
7.3477034543e-05,0.2782158746,2
4.7776986777e-06,0.8159380871,3
0.00013038761986,0.4277583171,4
4.9695687399e-05,0.7745139431,5
6.5362960206e-06,0.8916554101,6
4.3793919225e-06,0.5344133912,7
0.0011976692142,0.8161222371,8
0.00021992503762,0.1850766546,9
2.1125637791e-05,0.9102567218,10
0.0011868337197,0.5578749718,11
0.00017677809276,0.6011577218,12
0.0001653402162,0.2378084343,13
0.00041678645251,0.0491260379,14
0.0012572082393,0.1792730393,15
0.0002675475568,0.7706749189,16
0.00043390830499,0.4223664506,17
4.4795457822e-06,0.9917885226,18
0.002864365473,0.9769651542,19
0.00023658265821,0.9421672433,20
7.5749862365e-05,0.6866018472,21
0.00036017248309,0.3210205728,22
3.1569426553e-06,0.3500434645,23
1.0769413408e-06,0.5061794376,24
0.00033638821716,0.604687945,25
0.00020113082808,0.9321558501,26
6.1786165232e-06,0.6982301167,27
0.00017792775367,0.4063813602,28
0.00065246212763,0.6045028801,29
3.9433074678e-06,0.6016497219,30
0.0010711547876,0.811729108,31
0.0009095583585,0.8632758085,32
0.0004109419493,0.2733210223,33
0.0010368057932,0.7668790961,34
0.00085369349593,0.7046819092,35
2.1357291038e-05,0.3428255492,36
0.00030483860142,0.7256446235,37
0.00086870238438,0.9986109027,38
0.00034354908574,0.8167748018,39
2.2476885861e-05,0.6404991367,40
0.00027819747689,0.8416477957,41
8.8334432539e-05,0.9670093499,42
1.8802805584e-06,0.49449791,43
0.00067126065058,0.7097465872,44
0.00036198700541,0.8484654692,45
0.00062036918415,0.3217818712,46
7.3051394383e-05,0.2878240103,47
0.00019814108308,0.5162384163,48
0.0012479192566,0.9549814815,49
0.00018702172986,0.9557776985,50
2.2461260561e-06,0.6284034017,51
0.00076734109909,0.998330461,52
9999,9999,53
0.00029128066607,0.354543476,54
0.00089512399224,0.5517743787,55
0.00015609505892,0.7424498308,56
0.00048191032826,0.4649379063,57
0.00040491325572,0.749162077,58
0.00036620516983,0.1842017445,59
0.00036966298742,0.5138804121,60
0.0022402357004,0.155622759,61
3.2587887741e-05,0.6600668133,62
0.00010307930184,0.8446150834,63
0.00041059363213,0.8710771433,64
4.7354214515e-06,0.5986050795,65
0.0015712667067,0.1977050369,66
1.3005505204e-06,0.6209990149,67
2.0088960354e-06,0.7347512335,68
1.7382614284e-05,0.4357740739,69
7.5116522275e-06,0.6337201608,70
1.405859117e-05,0.772321013,71
5.906505718e-05,0.0591776863,72
5.0743829907e-05,0.6277626653,73
9.1235751918e-06,0.2623900168,74
2.4982584193e-05,0.5331091382,75
1.0327639674e-05,0.6466782538,76
0.00067899739737,0.7943830755,77
7.670460411e-05,0.9930775494,78
1.7557398294e-06,0.8430580548,79
0.00041895473857,0.5052115388,80
8.0983804425e-06,0.9614376836,81
0.00010882821332,0.3451368673,82
0.0013653404994,0.9193584145,83
2.6874913753e-05,0.5961778454,84
9.7212266194e-05,0.5683314274,85
6.0858620036e-05,0.5131476521,86
0.00022685657729,0.5653663324,87
0.00018384923393,0.9531783311,88
5.4734149599e-05,0.6383165085,89
4.167374538e-05,0.7469828895,90
0.00056745097321,0.8539801298,91
1.9958968939e-05,0.7679457145,92
0.00075703754253,0.6736523673,93
3.8789539043e-05,0.6659246928,94
0.00010047083814,0.280566305,95
0.00013873127762,0.3586410729,96
9999,9999,97
0.00032812534673,0.8651298907,98
