A,e,simulation
2.0032618625e-06,0.4422612144,0
0.0014674747632,0.8024509709,1
7.3476763743e-05,0.2781864426,2
4.7778583665e-06,0.8159434036,3
0.00013914144884,0.4658535141,4
4.9695696533e-05,0.7745175865,5
6.5362910996e-06,0.891655164,6
1.9426360521e-06,0.1614382698,7
0.001101029548,0.8244562405,8
0.00015135361464,0.2139717114,9
2.1125633383e-05,0.9102579099,10
0.0011039525385,0.647728801,11
0.00018193457537,0.7700924583,12
0.00012373155214,0.6405922793,13
0.00044788805465,0.0715134236,14
0.0012427486376,0.3000656124,15
0.00026754901685,0.7707669664,16
0.00052781731055,0.5433441029,17
4.3899683634e-06,0.9916214464,18
0.0027817291294,0.939238299,19
0.00033497085792,0.9033492069,20
8.4634331352e-05,0.7708991761,21
0.00034918847069,0.1622317264,22
3.1569357108e-06,0.3500423834,23
1.0769454964e-06,0.5061787967,24
0.00034894714831,0.6335928684,25
0.00032368154995,0.8142053205,26
6.1786238448e-06,0.6982300834,27
6.3153190745e-05,0.465378891,28
0.00065610259202,0.560021744,29
3.9433023821e-06,0.6016494166,30
0.00095389488025,0.9023724988,31
0.00081347519411,0.5843070922,32
0.00048051724509,0.406121067,33
0.00084487235315,0.764574603,34
0.00095606153005,0.8883877844,35
2.1357315317e-05,0.3428259797,36
0.000295875651,0.9825764154,37
0.00094430780013,0.8303839944,38
0.0003739839038,0.7839793259,39
2.2476885085e-05,0.6405012733,40
0.00028933628399,0.873932915,41
0.0003491970033,0.9244623232,42
1.880298718e-06,0.4945004147,43
0.00039148523155,0.5102044101,44
0.00038970898163,0.9855954567,45
0.00076968559148,0.9277719629,46
8.0626447774e-05,0.248831435,47
0.00018904433114,0.6292996693,48
0.0011610945216,0.9525263745,49
9.0628077336e-05,0.9464993716,50
2.2461305335e-06,0.6284031516,51
0.0006794985557,0.9190858218,52
9999,9999,53
0.00062441695721,0.6427480384,54
0.0008959230316,0.5499640948,55
0.00016796945372,0.1756813502,56
0.0004819037079,0.4649280829,57
0.00036840561604,0.7398938479,58
0.0003391327948,0.4527965099,59
0.00037009156863,0.5142499526,60
0.0020360618288,0.2761645259,61
3.2587891196e-05,0.6600667608,62
0.00010327030403,0.8447881639,63
0.0004387782364,0.7003250155,64
4.7354508646e-06,0.5986067246,65
0.0015779069979,0.1934188013,66
1.3005332943e-06,0.6209949681,67
2.0088809787e-06,0.7347494567,68
1.151115108e-05,0.8150287787,69
7.5116834985e-06,0.6337212039,70
1.4058592391e-05,0.7722825198,71
5.9065036655e-05,0.0591807411,72
5.0690119783e-05,0.6309534552,73
9.1235771294e-06,0.2623902173,74
2.4982593324e-05,0.5331090361,75
1.0327639147e-05,0.6466680802,76
0.00067803556232,0.8005309005,77
7.6704604484e-05,0.9931821547,78
1.7557260286e-06,0.8430568114,79
0.004178964649,0.9686135191,80
8.0982105967e-06,0.9614368744,81
0.00013240955763,0.3228254348,82
0.001517269582,0.7362181292,83
2.5588102908e-05,0.5561929623,84
0.00014066630839,0.7347564087,85
6.0858568318e-05,0.5131495082,86
0.00022463732643,0.6265864934,87
0.00018690240455,0.8883116659,88
5.2669819201e-05,0.636056529,89
4.1673735321e-05,0.7469823872,90
0.0005896599834,0.8401138968,91
1.9958969363e-05,0.7679344682,92
0.00080797647573,0.6198538138,93
3.8789581049e-05,0.6659196741,94
9.2884253946e-05,0.1819261618,95
0.00013872765422,0.3587027428,96
9999,9999,97
0.00013628396618,0.657255849,98
0.00069280020422,0.9824285226,99
0.0007263453249,0.7937543904,100
1.5915924994e-05,0.9700190733,101
2.1589783038e-06,0.3622149348,102
1.3336881178e-06,0.7681236196,103
2.2900917229e-05,0.9832800426,104
2.0821059643e-06,0.8245547482,105
0.00014763974996,0.8649076059,106
0.00080593766024,0.4419322064,107
2.9949556887e-05,0.9621408116,108
0.00077606101503,0.5290817671,109
2.6323346196e-06,0.9162634268,110
0.00050993231588,0.4141104705,111
0.00042329745569,0.7960168605,112
0.00011067729264,0.9045085921,113
0.00066219683271,0.5497589583,114
0.00087839428625,0.6008877039,115
3.0779197497e-05,0.8820354363,116
9999,9999,117
0.00013196286835,0.5606688393,118
1.3583230768e-05,0.3663464701,119
0.00088330208485,0.7556251154,120
0.00018477204664,0.7038702656,121
0.00017389889495,0.4669210735,122
0.0004937790973,0.622849501,123
3.0913166732e-06,0.4279094197,124
3.5809852405e-05,0.991331588,125
0.00013069459146,0.727187345,126
0.00024688558346,0.339579134,127
0.00058699893714,0.9204867014,128
2.2743767204e-05,0.8379098881,129
0.00053939635936,0.600681582,130
3.2523919727e-06,0.8079888759,131
1.3888915186e-05,0.387247409,132
7.8588252667e-06,0.1574342828,133
4.7758771601e-05,0.2402099424,134
1.4660288397e-06,0.4978575507,135
0.00016876251622,0.5576379877,136
8.7910053678e-06,0.285309135,137
0.00042202969462,0.6913287336,138
0.003537318481,0.5104397609,139
1.765446686e-05,0.8745093552,140
7.0415850107e-05,0.8482233538,141
3.6105316967e-06,0.8220565048,142
0.00034840424602,0.9258040846,143
2.7638077115e-06,0.4724530615,144
0.00029294381085,0.7753499287,145
4.3009137184e-05,0.533003982,146
0.00029483399722,0.8777671486,147
0.00018495461199,0.2075263583,148
0.00033912524068,0.8660936347,149
0.00026630539698,0.412068746,150
0.000163477029,0.8256891825,151
2.9227899662e-05,0.7665526271,152
0.0001693896596,0.7649232412,153
0.00014454828769,0.6370049697,154
0.0064560891481,0.9946781725,155
0.0001608892049,0.9878271399,156
0.00018615501659,0.2540097551,157
2.1756095255e-05,0.3728161412,158
9999,9999,159
7.3109791057e-05,0.9397433762,160
3.1178263065e-05,0.8976761447,161
0.00017198371197,0.5401711685,162
0.00017832675463,0.6367443086,163
4.9524409796e-07,0.5205672525,164
9999,9999,165
5.8521503749e-05,0.4535562582,166
0.00043423264243,0.6982882208,167
0.00093023872064,0.4178907294,168
0.00013590190481,0.8511389546,169
3.6365216413e-05,0.9961911979,170
9.7776226509e-06,0.595771315,171
1.1980385113e-05,0.7561857792,172
6.0428892941e-06,0.262511768,173
1.5202874255e-06,0.6602599061,174
0.00017116413439,0.7843617086,175
0.001904763414,0.9497084899,176
2.7833745574e-05,0.9497324665,177
0.00078374485316,0.691037888,178
2.4932777505e-06,0.7391477758,179
5.132270574e-05,0.5690168361,180
0.0001776274278,0.6787470009,181
1.7346466102e-05,0.4307534407,182
0.0034367948089,0.9166366799,183
0.0017609056667,0.5977550129,184
6.0775549804e-05,0.9931794889,185
6.3135944202e-05,0.8644857186,186
7.029324303e-07,0.5836626954,187
0.00011519223913,0.8118198006,188
0.00027927237968,0.8709771208,189
9.7088287413e-05,0.7223033183,190
9.3191578808e-06,0.8163529289,191
7.5240145767e-05,0.7795432635,192
0.00088872357761,0.4990724663,193
0.00045047439324,0.8353531448,194
4.209774936e-05,0.8002270131,195
0.00025796098057,0.390923588,196
0.00027712500956,0.9178569981,197
0.00019231205383,0.8728592838,198
0.00011199598757,0.886145022,199
5.9291327648e-05,0.6638032554,200
